words	commons	commons_tokenised	ipa	ipa_tokenised
pakie noenoe	paki nunu	p a k i # n u n u	paki nunu	p a k i # n u n u
apa joepa	apa yupa	a p a # y u p a	apa jupa	a p a # j u p a
awa mama	awa mama	a w a # m a m a	awa mama	a w a # m a m a
aliema	alima	a l i m a	alima	a l i m a
tapoeloe taka adoea taka tapoeloe	tapulu taka adua taka tapulu	t a p u l u # t a k a # a d u a # t a k a # t a p u l u	tapulu taka adua taka tapulu	t a p u l u # t a k a # a d u a # t a k a # t a p u l u
loekia	lukia	l u k i a	lukia	l u k i a
ampapa	ampapa	a m p a p a	ampapa	a m p a p a
tapoeloe taka	tapulu taka	t a p u l u # t a k a	tapulu taka	t a p u l u # t a k a
adoea taka tapoeloe	adua taka tapulu	a d u a # t a k a # t a p u l u	adua taka tapulu	a d u a # t a k a # t a p u l u
pada doeawa	pada duawa	p a d a # d u a w a	pada duawa	p a d a # d u a w a
oeka bioe	uka biu	u k a # b i u	uka biu	u k a # b i u
kahai	kahai	k a h a i	kahai	k a h a i
loekia	lukia	l u k i a	lukia	l u k i a
aliema adoea	alima adua	a l i m a # a d u a	alima adua	a l i m a # a d u a
akie akiena	aki akina	a k i # a k i n a	aki akina	a k i # a k i n a
tapoeloe apat taka tapoeloe	tapulu apat taka tapulu	t a p u l u # a p a t # t a k a # t a p u l u	tapulu apat taka tapulu	t a p u l u # a p a t # t a k a # t a p u l u
apa apa adoea	apa apa adua	a p a # a p a # a d u a	apa apa adua	a p a # a p a # a d u a
kahia kadoea doeka adoea taka tapoeloe	kahia kadua duka adua taka tapulu	k a h i a # k a d u a # d u k a # a d u a # t a k a # t a p u l u	kahia kadua duka adua taka tapulu	k a h i a # k a d u a # d u k a # a d u a # t a k a # t a p u l u
akoloe	akolu	a k o l u	akolu	a k o l u
aliema adoea	alima adua	a l i m a # a d u a	alima adua	a l i m a # a d u a
aliema adoea	alima adua	a l i m a # a d u a	alima adua	a l i m a # a d u a
adoea	adua	a d u a	adua	a d u a
aliema taka	alima taka	a l i m a # t a k a	alima taka	a l i m a # t a k a
hoenawa	hunawa	h u n a w a	hunawa	h u n a w a
