Left	Grapheme	Right	Class	Replacement
	aoe			aːo
	aw			aːo
	aè			aːe
	aé			aːe
	ae			aːe
	oö			o'o
	aä			a'a
	oe			u
	oh			o
	ou			oːu
	ie			ii
	ai			aːi
	oi			oːi
	ei			eːi
	èi			eːi
	ej			eːi
	tj			c
	th			c
	dhj			j
	dj			j
	nj			ñ
(ie)	h			x
(ai)	h			x
(?<!a)i	h			x
	\-			'
	 			 
	\!			!
	\(			(
	\)			)
	\/			/
	\;			;
	\?			?
	\[			[
	\]			]
	a			a
	á			a
	à			a
	ä			ä
	b			b
	c			c
	d			d
	e			e
	é			e
	è			E
	f			f
	g			k
	h			h
	i			i
	î			ii
	j			y
	k			k
	l			l
	m			m
	n			n
	o			o
	ó			o
	ö			ö
	p			p
	r			r
	s			x
	t			t
	u			u
	w			w
