Sources	SourcesKey	LexemesCount
Walland 1864	Walland1864	276
Francis 1870	Francis1870	91
v. Rosenberg 1878	vonRosenberg1878	79
Oudemans 1879	Oudemans1879	141
Helfrich 1888	Helfrich1888	~460
Helfrich & Pieters 1891	Helfrich_and_Pieters1891	1012
Modigliani 1894	Modigliani1894	484
Stokhof 1987	Stokhof_and_Almanar1987	878
Amran et al. 1979	AmranEtAl1979	168
Capell 1982	Capell1982	91
Kähler 1987	Kähler1987	8876
Kasim et al. 1987	KasimEtAl1987	179
Yoder 2011	Yoder2011	722
Aron 2019	Aron2019	694
Brouwer <1855	BrouwerPre1855	104
vd Straten & S. 1855	vanDerStraaten_and_Severijn1855	199
Boewang 1854	Boewang1854	22
v. Rosenberg 1855	vonRosenberg1855	154
Zakaria et al. 2023	ZakariaEtAl2022	57
Helfrich 1916	Helfrich1916	1407
Nothofer 1986 ms.	NothoferMS	
